obs_id,site,date,species,n_inds,n_leaf,w_weight,d_weight,leaf_area,SLA,LDMC,convex_hull_roundness,R,G,B,GCC,BCC,RCC,BITM,ExG,senesced,T1_TDD,T1_TDD_days,T3_TDD,T3_TDD_days,T1_GDD3,T1_GDD3_days,T3_GDD3,T3_GDD3_days,moist_GMD,T1_date_mean,T3_date_mean,moist_date_mean,T1_week_mean,T3_week_mean,moist_week_mean,T1_fortnight_mean,T3_fortnight_mean,moist_fortnight_mean,T1_month_mean,T3_month_mean,moist_month_mean
2024_0015,MI259,2024-06-11,Betula nana,4,4,0.0193,0.005575,1.0189977588208636,18.27798670530697,0.288860103626943,0.9892406866409286,0.2945588046669463,0.3325126004137718,0.16529394611793896,0.416779597614748,0.2133236911880613,0.3698967111971907,0.3037029567957092,0.1943017838355311,0.1294597632770316,135.38208333333333,21,256.627,26,130.35479166666667,17,251.05925,22,942.7008189534232,10.583333333333334,12.2174375,25.888541666666665,10.18797619047619,11.677278273809524,42.870089285714286,8.566309523809524,12.39088318452381,50.32269345238095,4.740074404761905,9.091589285714283,44.89051518825824
2024_0020,MI259,2024-06-17,Betula nana,4,4,0.0244,0.0078,1.313963248546154,16.84568267366864,0.31967213114754095,0.9890311283084212,0.2329976056987182,0.300818010525668,0.16098413515764778,0.43184193863726567,0.23305752086456905,0.33510054049816534,0.27483790014565324,0.19468719355001016,0.02687627921942504,207.14166666666665,27,333.21127083333334,32,202.114375,23,327.64352083333335,28,1069.2987356200897,12.648229166666669,14.09390625,20.583333333333332,11.76327380952381,12.685958333333334,21.78377976190476,10.891026785714285,12.107465029761904,34.740922619047616,7.384345238095238,11.568735491071427,39.60365687481814
2024_0045,MI259,2024-06-22,Betula nana,4,4,0.023175,0.008375,1.1394319758479767,13.605157920572855,0.36138079827400216,0.9853824541433862,0.23728919960569625,0.2979466708829969,0.17291843510833715,0.4200995150149414,0.24477369227981272,0.3351267927052458,0.2745956685624369,0.1761741990098171,0.02429165198405774,265.8904166666667,32,387.2919479166667,37,260.863125,28,381.7241979166667,33,1183.535193953423,11.324166666666668,11.43553125,21.490625,12.02626488095238,11.818395833333334,22.278422619047618,11.52078869047619,11.787923363095238,23.105208333333337,9.316540178571428,12.300597842261904,38.064248511904765
2024_0552,MI259,2024-07-01,Betula nana,4,4,0.032425,0.011875,1.3895499333965846,11.70147312333966,0.3662297609868928,0.9853374729739812,0.22653884101143537,0.27507035224764903,0.17852925489753274,0.40721672994837976,0.2615852424107504,0.33119802764087,0.2667524703633007,0.1360911229996382,0.04126064026963884,376.78510416666666,41,512.0386354166667,46,371.7578125,37,506.47088541666665,42,1367.688318953423,12.545520833333333,12.966739583333334,22.227083333333333,12.45235119047619,14.160802083333332,20.053125,12.117388392857142,12.77338318452381,21.313541666666666,11.504207589285716,12.440424107142857,28.02723214285714
2024_0696,MI259,2024-07-09,Betula nana,4,4,0.035925,0.01325,1.443113836587227,10.891425181790392,0.3688239387613083,0.9862321800777316,0.1980029296207382,0.24262920071408928,0.17503171358579564,0.398642297933104,0.2794122349594985,0.3219454671073975,0.2417218012878301,0.10664376482282996,0.02197399982806265,475.6011458333333,49,607.1746875,54,470.57385416666665,45,601.6069375,50,1528.4518606200895,11.914270833333331,10.35525,18.3375,12.296949404761904,11.971654761904762,19.923511904761902,12.45267857142857,13.031354910714288,19.94613095238095,12.15068080357143,12.519560267857145,20.91968005952381
2024_0739,MI259,2024-07-16,Betula nana,4,4,0.0303,0.011225,1.2719763706446776,11.331638045832316,0.3704620462046205,0.9875307740676694,0.20793194238399895,0.25401519305246767,0.17274457987338293,0.4045233543259162,0.27104269200113656,0.3244339536729472,0.25227392964722534,0.120229512767416,0.04045892939310494,564.4405208333334,56,712.4416458333334,61,559.4132291666666,52,706.8738958333333,57,1664.800818953423,14.097916666666666,17.649229166666668,17.18541666666667,12.691339285714283,15.038136904761906,19.47842261904762,12.494144345238094,13.504895833333334,19.70096726190476,12.313262648809523,13.08160788690476,20.453236607142856
2024_1571,MI259,2024-07-23,Betula nana,4,4,0.063275,0.019025,2.13097014179063,11.200894306389644,0.30067167127617545,0.9866289645951928,0.1993324827276332,0.23780732738734264,0.18722326787069177,0.38527738630435826,0.29628480855305384,0.31843780514258785,0.24293964186380637,0.0854192003649728,0.01812062670866232,671.1530208333334,63,842.2338229166667,68,666.1257291666667,59,836.6660729166667,64,1775.7935272867564,15.17,18.480697916666667,13.478125,15.244642857142855,18.541739583333335,15.856101190476192,13.967991071428573,16.78993824404762,17.667261904761904,13.210334821428573,14.910646577380952,18.806696428571428
2024_2082,MI259,2024-07-30,Betula nana,4,4,0.0434,0.014625,1.6067110031638063,10.986058141290982,0.3369815668202765,0.9808600636413278,0.20531758159775845,0.24249666522999397,0.18142265026590348,0.3889519603174732,0.2839439808786021,0.3271040588039247,0.24467284784567583,0.09269825158614668,0.02185839304574753,768.2211458333334,70,938.75403125,75,763.1938541666667,66,933.18628125,71,1913.957068953423,12.818229166666669,12.996697916666667,18.61875,13.866875,13.788601190476191,19.73764880952381,14.555758928571429,16.165170386904762,17.796875,13.524951636904762,14.835033110119047,18.748921130952382
2024_2652,MI259,2024-08-05,Betula nana,4,4,0.031975,0.012,1.3046017182281542,10.871680985234615,0.3752931978107896,0.9841752332852756,0.21651353393606057,0.24838438158947945,0.17555486223628058,0.3916025901518171,0.2724445062549906,0.33595290359319235,0.2510604617119569,0.09927768464516969,0.04365769717193183,846.3178125,76,1026.2932395833334,81,841.2905208333333,72,1020.7254895833332,77,2014.5487356200897,13.541875,16.532458333333334,15.397916666666667,12.987842261904762,14.362272321428572,17.030059523809523,13.59534226190476,14.467151041666668,18.016666666666666,13.665390625,15.338350074404762,18.015513392857144
2024_2721,MI259,2024-08-13,Betula nana,4,4,0.04075,0.013175,1.6982586603798144,12.890008807436924,0.3233128834355828,0.9860764207823648,0.21593170781505905,0.2625566932792441,0.18281042598226244,0.39998681733066327,0.2739090686342514,0.3261041140350854,0.25235101487141365,0.12137439224655384,0.01837095213664522,952.960625,84,1149.4044791666668,89,947.9333333333332,80,1143.8367291666666,85,2102.9154022867565,13.619375,16.405718750000002,9.44375,13.30123511904762,15.269705357142858,10.628125,13.195677083333331,15.04646056547619,13.49702380952381,13.87571800595238,15.605815476190475,15.646949404761903
